Word,Count
dangerous,28
forbidden,28
flee,28
organised,27
teeming,27
whip,27
formed,27
underground,27
weighing,27
woken,27
midnight,27
official,27
dutch,27
stuff,27
activity,27
overseers,27
covers,27
collect,27
christmas,27
talked,27
land,27
amongst,27
orphanage,27
clogs,27
internment,27
nicely,27
read,27
skin,27
butter,27
bridge,27
endure,27
kommando,27
tea,27
watery,27
confiscated,27
forth,26
flesh,26
lajos,26
óbuda,26
marked,26
hoped,26
kispest,26
visited,26
electric,26
sun,26
butts,26
bags,26
sign,26
belonged,26
stockings,26
seemed,26
heavily,26
rich,26
manner,26
attention,26
foreman,26
sorry,26
responsible,26
butt,26
mass,26
central,26
applied,26
regularly,26
teeth,26
across,26
extermination,26
pál,26
foreign,26
drinking,26
mercy,26
original,26
talking,26
miklós,26
sufficient,26
masses,26
particularly,26
loaves,26
uncle,26
complain,26
considered,26
occurrence,26
operated,26
supplied,26
jános,26
torn,26
twenty,25
raised,25
weakened,25
acquired,25
consequently,25
rule,25
szentkirályszabadja,25
newly,25
anymore,25
kőszeg,25
spot,25
finish,25
reasons,25
plundered,25
per,25
words,25
buckets,25
sides,25
quality,25
former,25
properly,25
cropped,25
unbearable,25
desperate,25
valuable,25
site,25
cigarettes,25
todt,25
feel,25
weiss,25
searching,25
story,25
centimetres,25
tunnel,25
denounced,25
fourth,25
giving,25
plate,25
share,25
weight,25
spend,25
graves,24
nasty,24
remaining,24
sentenced,24
plan,24
freezing,24
brezinka,24
paper,24
world,24
america,24
fight,24
pass,24
consciousness,24
personal,24
party,24
institute,24
russia,24
forward,24
earthwork,24
beautiful,24
attic,24
farmers,24
starred,24
exactly,24
ukraine,24
twelve,24
wires,24
double,24
force,24
salami,24
aid,24
fatal,24
sky,24
uniform,24
comrade,24
overcrowded,24
hole,24
weaker,24
sand,24
instructed,24
count,24
strength,24
komárom,24
bombing,24
austria,24
snails,24
swollen,24
process,24
casualties,24
awfully,23
appointed,23
salt,23
poles,23
szilárd,23
discharged,23
authority,23
shabby,23
